course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469,EMERITUS,https://www.classcentral.com/university/helsinki,Computer Science Courses,Self paced
Machine Learning,https://www.classcentral.com/course/machine-learning-835,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,"8th Jun, 2020"
Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341,EMERITUS,https://www.classcentral.com/university/mit,Computer Science Courses,Self paced
CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442,EMERITUS,https://www.classcentral.com/university/harvard,Computer Science Courses,Self paced
Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768,EMERITUS,https://www.classcentral.com/university/goldsmiths,Computer Science Courses,Self paced
Unlocking Information Security: Part Ⅰ,https://www.classcentral.com/course/edx-unlocking-information-security-part-16964,EMERITUS,https://www.classcentral.com/university/telaviv,Computer Science Courses,Self paced
"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339,EMERITUS,https://www.classcentral.com/university/princeton,Computer Science Courses,"8th Jun, 2020"
Cryptography I,https://www.classcentral.com/course/crypto-616,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,"8th Jun, 2020"
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,"1st Jun, 2020"
Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422,EMERITUS,https://www.classcentral.com/university/epfl,Computer Science Courses,"1st Jun, 2020"
"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335,EMERITUS,https://www.classcentral.com/university/umich,Computer Science Courses,"8th Jun, 2020"
Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857,EMERITUS,https://www.classcentral.com/institution/linuxfoundation,Computer Science Courses,Self paced
Cyber Security,https://www.classcentral.com/course/swayam-cyber-security-13978,EMERITUS,https://www.classcentral.com/institution/ugc,Computer Science Courses,"1st Jul, 2020"
CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445,EMERITUS,https://www.classcentral.com/university/berkeley,Computer Science Courses,Self paced
Principles of Computing (Part 1),https://www.classcentral.com/course/principlescomputing1-1724,EMERITUS,https://www.classcentral.com/university/rice,Computer Science Courses,"22nd Jun, 2020"
Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086,EMERITUS,https://www.classcentral.com/university/upv,Computer Science Courses,Self paced
Software Security,https://www.classcentral.com/course/software-security-1728,EMERITUS,https://www.classcentral.com/university/umd,Computer Science Courses,"22nd Jun, 2020"
Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,Self paced
Transport Systems: Global Issues and Future Innovations,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705,EMERITUS,https://www.classcentral.com/university/leeds,Computer Science Courses,"25th May, 2020"
Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186,EMERITUS,https://www.classcentral.com/university/epfl,Computer Science Courses,"1st Jun, 2020"
Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/ml-foundations-4352,EMERITUS,https://www.classcentral.com/university/uw,Computer Science Courses,"1st Jun, 2020"
Bitcoin and Cryptocurrency Technologies,https://www.classcentral.com/course/bitcointech-3655,EMERITUS,https://www.classcentral.com/university/princeton,Computer Science Courses,"8th Jun, 2020"
Probabilistic Graphical Models 1: Representation,https://www.classcentral.com/course/probabilistic-graphical-models-309,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,"15th Jun, 2020"
Web Security Fundamentals,https://www.classcentral.com/course/edx-web-security-fundamentals-8726,EMERITUS,https://www.classcentral.com/university/kuleuven,Computer Science Courses,Self paced
Programming for Everybody (Getting Started with Python),https://www.classcentral.com/course/python-4319,EMERITUS,https://www.classcentral.com/university/umich,Programming Courses,"1st Jun, 2020"
Automata Theory,https://www.classcentral.com/course/edx-automata-theory-376,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,Self paced
Introduction to Machine Learning Course,https://www.classcentral.com/course/udacity-introduction-to-machine-learning-course-2996,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,Self paced
Python Data Structures,https://www.classcentral.com/course/python-data-4174,EMERITUS,https://www.classcentral.com/university/umich,Programming Courses,"1st Jun, 2020"
The Nature of Code,https://www.classcentral.com/course/kadenze-the-nature-of-code-3777,EMERITUS,https://www.classcentral.com/institution/processing-foundation,Computer Science Courses,Self paced
Computer Science 101,https://www.classcentral.com/course/edx-computer-science-101-2175,EMERITUS,https://www.classcentral.com/university/stanford,Computer Science Courses,Self paced
Mountains 101,https://www.classcentral.com/course/mountains-101-7455,UC Berkeley Executive Education,https://www.classcentral.com/university/ualberta,Science Courses,"22nd Jun, 2020"
An Introduction to Interactive Programming in Python (Part 1),https://www.classcentral.com/course/interactivepython1-408,EMERITUS,https://www.classcentral.com/university/rice,Programming Courses,"22nd Jun, 2020"
Using Python to Access Web Data,https://www.classcentral.com/course/python-network-data-4343,EMERITUS,https://www.classcentral.com/university/umich,Programming Courses,"1st Jun, 2020"
Introduction to Engineering Mechanics,https://www.classcentral.com/course/statics1-564,EMERITUS,https://www.classcentral.com/university/gatech,Engineering Courses,"8th Jun, 2020"
Fundamentos TIC para profesionales de negocios: Desarrollo de Software,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495,EMERITUS,https://www.classcentral.com/university/upv,Computer Science Courses,Self paced
Sample-based Learning Methods,https://www.classcentral.com/course/sample-based-learning-methods-14496,EMERITUS,https://www.classcentral.com/university/ualberta,Computer Science Courses,"8th Jun, 2020"
Forensic Facial Reconstruction: Finding Mr. X,https://www.classcentral.com/course/forensic-facial-reconstruction-7641,UC Berkeley Executive Education,https://www.classcentral.com/university/shef,Science Courses,"8th Jun, 2020"
Nutrition and Health: Human Microbiome,https://www.classcentral.com/course/edx-nutrition-and-health-human-microbiome-9565,UC Berkeley Executive Education,https://www.classcentral.com/university/wageningenur,Science Courses,"6th Jul, 2020"
Using Databases with Python,https://www.classcentral.com/course/python-databases-4272,EMERITUS,https://www.classcentral.com/university/umich,Programming Courses,"1st Jun, 2020"
Python for Everybody,https://www.classcentral.com/course/python-18625,EMERITUS,https://www.classcentral.com/university/umich,Programming Courses,
Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986,EMERITUS,https://www.classcentral.com/university/hkust,Engineering Courses,"1st Jun, 2020"
Differential Equations for Engineers,https://www.classcentral.com/course/differential-equations-engineers-13258,EMERITUS,https://www.classcentral.com/university/hkust,Engineering Courses,"1st Jun, 2020"
Introduction to Software Product Management,https://www.classcentral.com/course/introduction-to-software-product-managem-4196,EMERITUS,https://www.classcentral.com/university/ualberta,Computer Science Courses,"15th Jun, 2020"
Extinctions: Past and Present,https://www.classcentral.com/course/extinctions-past-present-8004,UC Berkeley Executive Education,https://www.classcentral.com/university/uct,Science Courses,"3rd Aug, 2020"
Introduction to Complexity,https://www.classcentral.com/course/complexity-explorer-introduction-to-complexity-557,UC Berkeley Executive Education,https://www.classcentral.com/university/sfi,Science Courses,Self paced
Dino 101: Dinosaur Paleobiology,https://www.classcentral.com/course/dino101-1057,UC Berkeley Executive Education,https://www.classcentral.com/university/ualberta,Science Courses,"6th Jun, 2020"
Agile Leadership Principles and Practices,https://www.classcentral.com/course/edx-agile-leadership-principles-and-practices-11920,EMERITUS,https://www.classcentral.com/university/usmd,Programming Courses,Self paced
Introduction to Programming with MATLAB,https://www.classcentral.com/course/matlab-3396,EMERITUS,https://www.classcentral.com/university/vanderbilt,Programming Courses,"1st Jun, 2020"
Understanding Dementia,https://www.classcentral.com/course/independent-understanding-dementia-981,MIT xPRO,https://www.classcentral.com/university/utas,Health & Medicine Courses,"7th Jul, 2020"
Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.classcentral.com/course/mechanics-1-5031,EMERITUS,https://www.classcentral.com/university/gatech,Engineering Courses,"1st Jun, 2020"
Technical Report Writing for Engineers,https://www.classcentral.com/course/technical-report-writing-for-engineers-9087,EMERITUS,https://www.classcentral.com/university/shef,Engineering Courses,"10th Aug, 2020"
Principles of Computing (Part 2),https://www.classcentral.com/course/principlescomputing2-3198,EMERITUS,https://www.classcentral.com/university/rice,Computer Science Courses,"22nd Jun, 2020"
Cybersecurity Fundamentals,https://www.classcentral.com/course/edx-cybersecurity-fundamentals-7844,EMERITUS,https://www.classcentral.com/university/rit,Computer Science Courses,"18th Aug, 2020"
Quantum Mechanics for Everyone,https://www.classcentral.com/course/edx-quantum-mechanics-for-everyone-8284,UC Berkeley Executive Education,https://www.classcentral.com/university/georgetown,Science Courses,Self paced
Vital Signs: Understanding What the Body Is Telling Us,https://www.classcentral.com/course/vitalsigns-1887,UC Berkeley Executive Education,https://www.classcentral.com/university/penn,Science Courses,"8th Jun, 2020"
Python and Statistics for Financial Analysis,https://www.classcentral.com/course/python-statistics-financial-analysis-12648,EMERITUS,https://www.classcentral.com/university/hkust,Programming Courses,"22nd Jun, 2020"
Preventing Dementia,https://www.classcentral.com/course/independent-preventing-dementia-6565,MIT xPRO,https://www.classcentral.com/university/utas,Health & Medicine Courses,"12th May, 2020"
Understanding Clinical Research: Behind the Statistics,https://www.classcentral.com/course/clinical-research-5037,MIT xPRO,https://www.classcentral.com/university/uct,Health & Medicine Courses,"15th Jun, 2020"
